115 DATA 2,41,2,l6,11,0,0,I
120 DATA 2,I,8,l,I2,I,I,2
m DATA I,0,0,.,2,l,2,7
130 DATA 2,0,~,0,l,2,I,2
Il~ DATA 1,4,6,910,6,l,I0
140 DATA 2,~,0,0,7,.,I,~
14~ DATA 1,0,0,6,8,7,1,6
I~0 DATA 1,2,0,7,0,~,2,l
I~~ DATA 1,0,0,10,5,1,3,7
100 DATA 2,0,0,~l,9,7,3,6
165 DATA I,0,12,I,3~,2,I,2
170 DATA 2,11,13,2,0,.,2,1
175 DATA 1,12,14,0,0,5,2,4
180 DATA 2,13,0,I~,0,7,.,8
185 DATA 1,0,0,16,1.,3,1,1
190 DATA 2,0,23,17,I~,6,2,7
19~ DATA 2,0,19,18,16,8,1,1
200 DATA 1,0,20,0,17,1,2,.
205 DATA 2,I7,0,20,0,6,l,8
210 DATA 2,18,21,0,19,4,1,1
215 DATA 2,20,0,0,22,~,2,12
220 DATA 1,0,0,21,23,1,2,3
225 DATA 2,16,0,22,24,7,1,1
240 DATA 1,0,0,23,25,8,1,2
250 DATA 2,0,0,24,26,8,4,9
260 DATA 1,27,0,25,0,2,1,1
270 DATA 2,30,26,0,28,5,2,7
280 DATA 2,29,0,27,45,6,1,2
290 DATA 2,0,28,30,0,7,5,9
300 DATA 1,31,27,0,29,4,2,5
310 DATA 1,32,30,0,0,1,2,3
320 DATA 2,0,31,34,33,5,3,8
330 DATA 1,0,0,l2,0,l,I,4
340 DATA 2,l~,0,0,32,1,1,1
l~ DATA 2,36,3.,11,0,3,2,6
360 DATA 2,.0,3~ú,37, 1,8,~, I
370 DATA 1,39,0,0,36,2,1,2
380 DATA 2,0,0,0,39,6,3,8
390 DATA 1,46,l7,l8,0,1,2,5
400 DATA 1, 0,l6,0,41,7,1,3
410 DATA 1,42,1,40,0,1,1,1
420 DATA 2,43,41,0,0.,4,1,2
410 DATA 1,50,42,0,0,5,2,5
440 DATA 2,48,0,46,0,2,6,8
4~0 DATA 2,0,0,28,47,6,3,8
400 DATA 2,47,39,0,44,l,2,7
470 DATA 1,0,46,4~,48,1,2,1
480 DATA 2,49,44,47,0,4,1,2
490 DATA 1,0,48,0,50,1,1,1
500 DATA 2,0,43,49,SI,8,l,8
510 DATA 1,0,~2,50,0,S,I,l
~20 DATA 2,~I,.54,0,0,2,2,4
~30 DATA 2,0,0,~4,10,7,4,9
540 DATA I,S2,55,0,5l,4,5,7
550 DATA 1,54,0,0,56,7,1,11
~60 DATA 2,0,0,5~,57,1,2,6
570 DATA 1,0, 58, .56,0,~, 3, 7
580 DATA 2,57,0,0,0,8,10,9
