0 CLEAR1000
1250 READIL,CL,NL,RL,MX,AR,TT,LN,LT,ML,TR
1270 DIMC$(CL,7)
1280 ZZ=1:LC=1:LPRINT 2000+LC;"DATA ";:FORX=0TOCL:READC$(X,0),C$(X,1),C$(X,2),C$(X,3),C$(X,4),C$(X,5),C$(X,6),C$(X,7)
1290 FORCC=0TO7:LPRINTRIGHT$("00000"+C$(X,CC),5);:NEXT:ZZ=ZZ*-1
1300 IFZZ>0THENLC=LC+1:LPRINT:LPRINT 2000+LC;"DATA ";:NEXT:END
1310 LPRINT",";:NEXT:END

2000 DATA 60,151,59,33,5,11,13,3,125,71,3
2001 DATA 75,161,386,160,200,0,17612,0,10,401,420,400,146,0,1852,8850,8,421,0,0,0,0,2011,0,8,521,520,260,0,0,2609,7800
2002 DATA 100,108,760,820,420,100,8312,10264,100,484,0,0,0,0,5613,0,5,141,140,20,246,0
2003 DATA 6062,0,5,406,426,400,442,146,7845,0,8,482,152,0,0,0,2311,0,100,104,0,0,0,0,8550,0,50,161,246,160,1100,0,7259,7800
2004 DATA 100,148,140,940,500,0,10262,9900,30,841,426,406,400,0,7845,0,50,542,141,0,0,0,10504,9150,100,248,642,720,640,700
2005 DATA 8005,7950,100,248,542,1040,540,0,8005,0,100,28,49,20,40,0,6360,8700,25,288,260,280,0,0,7860,9150,100,248,240,0,0,0
2006 DATA 9660,0,100,269,260,0,0,0,16558,17357,100,28,48,20,40,0,4110,9000,4366,22,0,0,0,0,6900,0,4374,0,0,0,0,0,9750,0,4404
2007 DATA 682,0,0,0,0,6900,0,4407,82,0,0,0,0,6900,0,1521,142,421,420,140,0,8902,450,1542,462,141,460,0,0,7800,0,1521,142,401
2008 DATA 400,140,0,8902,450,2742,461,460,502,780,500,8864,8005,2742,461,460,0,0,0,7950,0,1523,482,146,0,0,0,2311,0,1523,482
2009 DATA 141,266,0,0,2400,0,1523,482,141,261,260,520,8902,0,1533,0,0,0,0,0,9900,0,4350,0,0,0,0,0,9600,0,5100,0,0,0,0,0,9900
2010 DATA 0,3450,581,344,460,0,0,8118,8614,2125,623,566,0,0,0,2850,0,2125,621,561,620,0,0,3021,9209,6794,0,0,0,0,0,17100,0
2011 DATA 2125,622,561,620,240,0,10555,8720,184,404,702,380,0,0,8164,0,1525,24,806,0,0,0,2400,0,1525,24,801,800,620,0,8902,0
2012 DATA 2725,621,620,800,0,0,8902,3450,2125,362,561,0,0,0,3300,0,6803,0,0,0,0,0,17100,0,185,384,0,0,0,0,3750,0,1510,762,760
2013 DATA 505,0,0,7800,0,2710,761,760,582,20,0,7986,8700,6343,921,920,0,0,0,509,0,1513,122,261,260,240,0,8902,0,900,384,420
2014 DATA 726,0,0,8164,0,900,424,380,0,0,0,8164,0,185,424,502,0,0,0,3900,0,185,424,505,440,0,0,8164,0,7815,0,0,0,0,0,10650,0
2015 DATA204,682,0,0,0,0,7650,0,2723,521,502,520,480,280,4259,8008,1513,122,266,0,0,0,2400,0,5751,62,0,0,0,0,300,0,207,40,102
2016 DATA 0,0,0,8164,0,2713,241,240,260,0,0,8902,4350,1528,442,440,200,0,0,8319,8294,1257,100,102,292,80,221,8303,1050,5870
2017 DATA 104,322,286,0,0,900,0,5570,104,322,286,0,0,900,0,3611,221,60,220,0,0,4558,7950,5870,322,281,320,340,0,8303,9600
2018 DATA 2737,721,685,720,0,0,7950,0,900,384,721,0,0,0,5011,0,2737,721,1120,900,680,720,8003,8309,1537,722,720,0,0,0,4852,0
